identifier,name,desc,effect,prev,cost,maxLevel,unlocked,value,comment
worker1,,initial workers +{0},worker,,1,1,1,1,
worker2,,initial workers +{0},worker,worker1,2,3,1,1,
worker3,,initial workers +{0},worker,worker2,4,3,1,1,
worker4,,initial workers +{0},worker,worker3,8,3,1,1,
worker5,,initial workers +{0},worker,worker4,16,3,1,1,
worker6,,initial workers +{0},worker,worker5,32,3,1,1,
splitMachine,,unlock split machine,splitMachine,worker1,4,1,1,1,
vegSoup,,unlock Fruit Smoothie,vegSoup,splitMachine,6,1,1,1,
stirFry,,unlock Cream Finger Buns,stirFry,vegSoup,20,1,1,1,
moveSpeed,,move speed increase {0}%,moveSpeed,worker3,10,4,1,10,
speedup,,unlock speedup button,speedUpButton,worker1,2,1,,1,
zoneCapacity,,zone capacity increase {0},zoneCapacity,worker1,4,2,1,1,
zoneCapacity2,,zone capacity increase {0},zoneCapacity,zoneCapacity,15,3,1,1,
moveSpeed2,,move speed increase {0}%,moveSpeed,moveSpeed,20,4,1,10,
sacrificeEffect,,sacrifice minion increase patience {0} more ,sacrificePatience,worker2,20,2,1,10,
time,,increase {0} seconds for each level,time,splitMachine,6,1,1,60,
time2,,increase {0} seconds for each level,time,time,20,2,1,60,
customerTips,,increase {0} customer tips after satisfied one,customerTips,worker1,4,1,1,1,
customerTips2,,increase {0} customer tips after satisfied one,customerTips,customerTips,20,1,1,1,
dishPrice,,increase {0} for each dish,dishPrice,customerTips2,30,1,1,1,
doubleCut,,cut has 50% chance to output double,doubleCut,worker2,15,1,1,1,
doubleCook,,cook has 50% chance to output double,doubleCook,vegSoup,25,1,1,1,
doubleSplit,,split machine has 50% chance to output +1 minion,doubleSplit,splitMachine,20,1,1,1,
yummyMinion,,first sacrifice minion for each customer grants {0} full,yummyMinion,sacrificeEffect,20,1,1,1,
patienceFood,,each dish grants extra {0}% satiety,patienceFood,sacrificeEffect,20,1,1,20,
